Year-Month,Average Hourly Earnings Production Workers (Dollars),Average Hourly Earnings All Employees Total Private (Dollars),ECI Total Compensation (All Civilians) (Index Dec 2005=100),ECI Wages & Salaries (Private Industry) (Index Dec 2005=100),"Atlanta Fed Wage Growth Tracker (12mo MA, Overall) (Percent)",Atlanta Fed Wage Growth Tracker (Job Stayer) (Percent),Atlanta Fed Wage Growth Tracker (Job Switcher) (Percent),Atlanta Wage Tracker: 1st-25th Percentile (Percent),Atlanta Wage Tracker: 76th-100th Percentile (Percent),Median Usual Weekly Earnings (Real) (2024 Dollars),"Real Average Hourly Earnings, YoY (percent)"
2004-09,15.78,,,,3.4,3.4,3.5,3.2,3.4,,
2004-10,15.81,,97.1,97.7,3.5,3.4,3.6,3.2,3.5,,
2004-11,15.84,,,,3.5,3.4,3.7,3.2,3.6,,
2004-12,15.86,,,,3.5,3.4,3.7,3.3,3.6,,
2005-01,15.9,,98.0,98.3,3.5,3.4,3.8,3.3,3.6,333.0,
2005-02,15.93,,,,3.5,3.4,3.8,3.3,3.6,,
2005-03,15.97,,,,3.5,3.4,3.7,3.3,3.7,,
2005-04,16.01,,98.6,98.8,3.6,3.4,3.8,3.4,3.7,,
2005-05,16.04,,,,3.6,3.5,3.8,3.5,3.7,,
2005-06,16.08,,,,3.7,3.6,3.8,3.5,3.9,,
2005-07,16.15,,99.3,99.4,3.7,3.6,3.8,3.5,4.0,,
2005-08,16.17,,,,3.7,3.7,3.9,3.6,3.9,,
2005-09,16.19,,,,3.7,3.6,3.9,3.5,4.0,,
2005-10,16.28,,100.1,100.1,3.8,3.7,4.0,3.6,4.0,,
2005-11,16.3,,,,3.8,3.8,4.0,3.6,4.1,,
2005-12,16.36,,,,3.9,3.8,4.0,3.8,4.0,,
2006-01,16.42,,100.7,100.8,3.9,3.8,4.0,3.8,3.9,333.0,
2006-02,16.48,,,,3.9,3.8,4.1,3.8,4.0,,
2006-03,16.54,20.04,,,3.9,3.8,4.1,3.9,4.0,,
2006-04,16.63,20.17,101.6,101.6,4.0,3.9,4.1,3.9,4.0,,
2006-05,16.65,20.13,,,4.0,3.8,4.3,3.8,4.0,,
2006-06,16.72,20.22,,,3.9,3.8,4.3,3.9,3.9,,
2006-07,16.78,20.29,102.6,102.5,3.9,3.7,4.3,3.9,3.8,,
2006-08,16.82,20.32,,,3.9,3.7,4.3,3.8,3.9,,
2006-09,16.87,20.4,,,3.9,3.7,4.3,3.9,3.9,,
2006-10,16.93,20.42,103.4,103.3,3.8,3.6,4.3,3.8,3.8,,
2006-11,16.98,20.49,,,3.8,3.6,4.3,3.8,3.9,,
2006-12,17.05,20.58,,,3.9,3.6,4.4,3.8,3.9,,
2007-01,17.09,20.59,104.2,104.3,3.9,3.7,4.4,3.8,3.9,335.0,
2007-02,17.16,20.68,,,3.9,3.7,4.4,4.0,3.9,,
2007-03,17.22,20.72,,,4.0,3.7,4.6,4.0,4.0,,0.5788
2007-04,17.27,20.79,105.1,105.1,4.0,3.7,4.5,4.1,4.0,,0.4688
2007-05,17.34,20.84,,,4.0,3.7,4.6,4.2,4.0,,0.7956
2007-06,17.41,20.95,,,4.0,3.7,4.6,4.1,4.0,,0.8935
2007-07,17.46,20.94,105.9,105.9,4.1,3.8,4.6,4.2,4.1,,0.8656
2007-08,17.5,21.0,,,4.1,3.8,4.7,4.3,4.1,,1.4220
2007-09,17.55,21.04,,,4.2,3.9,4.7,4.5,4.2,,0.2951
2007-10,17.58,21.06,106.8,106.7,4.2,4.0,4.7,4.6,4.2,,-0.4599
2007-11,17.63,21.12,,,4.2,4.0,4.7,4.6,4.1,,-1.2442
2007-12,17.68,21.16,,,4.2,4.0,4.6,4.6,4.0,,-1.2396
2008-01,17.74,21.19,107.6,107.6,4.1,3.9,4.6,4.7,4.0,335.0,-1.3238
2008-02,17.8,21.27,,,4.1,3.9,4.6,4.6,4.0,,-1.2386
2008-03,17.87,21.36,,,4.1,4.0,4.5,4.6,4.0,,-0.8522
2008-04,17.92,21.38,108.3,108.4,4.1,4.0,4.5,4.6,4.0,,-1.0258
2008-05,17.98,21.47,,,4.1,4.0,4.4,4.6,4.1,,-1.0235
2008-06,18.04,21.52,,,4.1,4.0,4.4,4.7,4.0,,-2.1110
2008-07,18.1,21.6,109.1,109.0,4.1,4.0,4.3,4.7,4.0,,-2.2234
2008-08,18.18,21.7,,,4.1,4.0,4.3,4.5,4.0,,-1.8752
2008-09,18.2,21.73,,,4.0,3.9,4.3,4.4,3.9,,-1.5949
2008-10,18.25,21.76,109.6,109.5,4.0,3.9,4.2,4.4,4.1,,-0.3926
2008-11,18.31,21.86,,,4.0,3.9,4.2,4.3,4.1,,2.3777
2008-12,18.39,21.95,,,4.0,3.9,4.2,4.2,4.2,,3.7565
2009-01,18.39,21.96,109.9,109.8,3.9,3.9,4.1,4.1,4.2,345.0,3.7516
2009-02,18.44,21.98,,,3.8,3.8,4.0,4.0,4.1,,3.3293
2009-03,18.49,22.05,,,3.8,3.8,3.9,3.9,4.0,,3.6933
2009-04,18.52,22.1,110.2,110.1,3.7,3.7,3.8,3.8,3.9,,3.9668
2009-05,18.53,22.12,,,3.7,3.7,3.7,3.7,3.7,,4.0847
2009-06,18.56,22.14,,,3.6,3.6,3.4,3.6,3.7,,4.1614
2009-07,18.59,22.18,110.7,110.5,3.4,3.5,3.3,3.4,3.6,,4.7367
2009-08,18.67,22.23,,,3.3,3.4,3.0,3.2,3.4,,3.9854
2009-09,18.7,22.27,,,3.1,3.2,2.8,3.2,3.2,,3.9170
2009-10,18.74,22.31,111.1,111.0,3.0,3.1,2.6,3.1,3.0,,2.7577
2009-11,18.8,22.34,,,2.8,3.0,2.4,2.9,2.9,,0.2759
2009-12,18.84,22.37,,,2.6,2.8,2.2,2.8,2.7,,-0.8760
2010-01,18.88,22.4,111.8,111.4,2.5,2.7,2.0,2.7,2.4,342.0,-0.6017
2010-02,18.91,22.46,,,2.4,2.6,1.9,2.6,2.4,,0.0318
2010-03,18.92,22.46,,,2.3,2.4,1.8,2.5,2.4,,-0.4172
2010-04,18.96,22.49,112.3,111.9,2.1,2.3,1.7,2.4,2.2,,-0.4325
2010-05,19.01,22.51,,,2.0,2.1,1.6,2.1,2.2,,-0.2357
2010-06,19.03,22.53,,,1.9,2.1,1.6,2.2,2.1,,0.6329
2010-07,19.04,22.59,112.8,112.3,1.8,2.0,1.6,2.1,2.1,,0.5010
2010-08,19.11,22.62,,,1.8,1.9,1.6,2.1,2.1,,0.5973
2010-09,19.11,22.67,,,1.8,1.9,1.7,2.0,2.1,,0.6703
2010-10,19.21,22.73,113.3,112.9,1.7,1.7,1.7,1.9,2.0,,0.7076
2010-11,19.21,22.73,,,1.7,1.7,1.8,1.9,2.0,,0.6541
2010-12,19.23,22.76,,,1.8,1.7,1.9,1.9,2.1,,0.3013
2011-01,19.33,22.87,114.0,113.2,1.8,1.6,2.0,1.8,2.2,336.0,0.3908
2011-02,19.31,22.87,,,1.8,1.6,2.0,1.8,2.2,,-0.2932
2011-03,19.3,22.87,,,1.8,1.6,2.0,1.7,2.2,,-0.7735
2011-04,19.36,22.91,114.7,113.7,1.8,1.6,2.0,1.6,2.1,,-1.1736
2011-05,19.41,22.97,,,1.9,1.7,2.2,1.7,2.2,,-1.3681
2011-06,19.41,23.0,,,1.9,1.7,2.2,1.4,2.3,,-1.3683
2011-07,19.48,23.11,115.1,114.2,1.9,1.7,2.3,1.4,2.3,,-1.2338
2011-08,19.47,23.06,,,2.0,1.7,2.3,1.5,2.3,,-1.7443
2011-09,19.49,23.11,,,1.9,1.7,2.2,1.5,2.3,,-1.8030
2011-10,19.56,23.18,115.6,114.7,2.0,1.8,2.3,1.5,2.4,,-1.4900
2011-11,19.56,23.19,,,2.0,1.8,2.3,1.4,2.5,,-1.3800
2011-12,19.57,23.22,,,2.0,1.8,2.2,1.3,2.4,,-1.0100
2012-01,19.59,23.26,116.3,115.3,2.0,1.9,2.2,1.3,2.4,335.0,-1.2654
2012-02,19.58,23.28,,,2.0,1.9,2.3,1.1,2.4,,-1.0743
2012-03,19.64,23.36,,,2.0,1.9,2.2,1.2,2.3,,-0.4292
2012-04,19.68,23.39,116.8,115.8,2.1,1.9,2.4,1.2,2.4,,-0.1741
2012-05,19.68,23.41,,,2.1,1.9,2.2,1.2,2.3,,0.1746
2012-06,19.71,23.46,,,2.1,1.9,2.3,1.4,2.1,,0.3405
2012-07,19.75,23.49,117.3,116.3,2.1,1.9,2.3,1.3,2.1,,0.2236
2012-08,19.74,23.48,,,2.0,1.8,2.3,1.2,2.1,,0.1332
2012-09,19.79,23.57,,,2.1,1.9,2.4,1.2,2.2,,0.0400
2012-10,19.79,23.56,117.8,116.7,2.1,1.9,2.3,1.3,2.2,,-0.5054
2012-11,19.84,23.63,,,2.1,1.9,2.4,1.4,2.2,,0.0996
2012-12,19.9,23.72,,,2.2,1.9,2.6,1.4,2.3,,0.3870
2013-01,19.93,23.74,118.4,117.4,2.2,1.9,2.5,1.4,2.3,333.0,0.3733
2013-02,19.99,23.78,,,2.2,2.0,2.5,1.5,2.4,,0.1271
2013-03,20.01,23.8,,,2.2,2.0,2.6,1.5,2.4,,0.3594
2013-04,20.04,23.87,119.0,118.0,2.2,1.9,2.6,1.4,2.3,,0.9031
2013-05,20.05,23.89,,,2.2,1.9,2.7,1.4,2.5,,0.6510
2013-06,20.13,23.96,,,2.2,1.9,2.7,1.3,2.6,,0.4085
2013-07,20.14,23.98,119.5,118.4,2.2,1.9,2.7,1.4,2.6,,0.1968
2013-08,20.17,24.02,,,2.3,2.0,2.8,1.5,2.6,,0.7495
2013-09,20.23,24.06,,,2.2,1.9,2.7,1.5,2.5,,0.9735
2013-10,20.25,24.09,120.1,119.1,2.3,2.0,2.7,1.4,2.4,,1.3608
2013-11,20.31,24.16,,,2.2,2.0,2.6,1.4,2.3,,0.9977
2013-12,20.34,24.18,,,2.2,2.0,2.6,1.4,2.2,,0.4201
2014-01,20.39,24.22,120.5,119.4,2.2,2.0,2.7,1.6,2.2,334.0,0.4570
2014-02,20.51,24.33,,,2.3,2.0,2.7,1.8,2.1,,1.1792
2014-03,20.5,24.31,,,2.3,2.0,2.7,1.9,2.1,,0.5217
2014-04,20.51,24.34,121.4,120.2,2.3,2.1,2.6,2.0,2.1,,-0.0452
2014-05,20.53,24.4,,,2.3,2.1,2.6,2.0,2.1,,-0.0315
2014-06,20.6,24.46,,,2.3,2.1,2.6,2.0,2.1,,0.0273
2014-07,20.61,24.48,122.2,121.1,2.3,2.1,2.6,2.0,2.0,,0.1087
2014-08,20.66,24.54,,,2.3,2.1,2.5,2.1,2.0,,0.4422
2014-09,20.66,24.56,,,2.4,2.2,2.7,2.2,2.1,,0.3876
2014-10,20.7,24.59,122.8,121.8,2.5,2.3,2.8,2.3,2.3,,0.4586
2014-11,20.77,24.66,,,2.5,2.4,2.8,2.5,2.3,,0.8278
2014-12,20.71,24.63,,,2.6,2.4,2.8,2.6,2.3,,1.2001
2015-01,20.8,24.74,123.6,122.6,2.6,2.5,2.9,2.7,2.3,341.0,2.3824
2015-02,20.84,24.79,,,2.7,2.6,2.8,2.7,2.5,,1.9794
2015-03,20.91,24.85,,,2.8,2.6,2.9,2.8,2.6,,2.2438
2015-04,20.92,24.89,123.8,122.8,2.9,2.7,3.1,2.9,2.7,,2.3661
2015-05,20.98,24.97,,,2.9,2.8,3.1,3.2,2.7,,2.3002
2015-06,21.0,24.97,,,3.0,2.8,3.2,3.3,2.8,,1.9020
2015-07,21.03,25.01,124.6,123.6,3.1,2.9,3.3,3.6,2.9,,1.9350
2015-08,21.11,25.1,,,3.1,2.9,3.3,3.5,2.9,,2.0358
2015-09,21.09,25.11,,,3.1,2.9,3.3,3.5,2.9,,2.2304
2015-10,21.19,25.2,125.3,124.3,3.1,2.8,3.4,3.6,3.0,,2.3501
2015-11,21.21,25.25,,,3.1,2.9,3.5,3.5,3.1,,1.9477
2015-12,21.23,25.25,,,3.1,2.9,3.5,3.5,3.2,,1.8666
2016-01,21.31,25.37,126.0,125.1,3.1,2.9,3.5,3.4,3.1,347.0,1.2930
2016-02,21.33,25.38,,,3.2,2.9,3.6,3.5,3.1,,1.5198
2016-03,21.39,25.45,,,3.1,2.9,3.6,3.5,3.1,,1.5094
2016-04,21.46,25.53,126.7,126.0,3.1,2.9,3.6,3.6,3.0,,1.3825
2016-05,21.48,25.58,,,3.2,2.9,3.7,3.6,3.0,,1.3499
2016-06,21.52,25.62,,,3.2,2.9,3.8,3.7,3.0,,1.5076
2016-07,21.58,25.69,127.4,126.6,3.2,2.9,3.8,3.6,3.1,,1.8346
2016-08,21.6,25.71,,,3.3,2.9,3.9,3.8,3.2,,1.3606
2016-09,21.62,25.77,,,3.4,3.0,4.0,3.9,3.1,,1.0633
2016-10,21.71,25.9,128.1,127.3,3.5,3.2,4.0,4.1,3.1,,1.0738
2016-11,21.71,25.9,,,3.5,3.2,4.0,4.1,3.1,,0.8752
2016-12,21.76,25.93,,,3.5,3.2,4.1,4.2,3.1,,0.6294
2017-01,21.82,26.0,128.9,128.2,3.5,3.2,4.1,4.2,3.2,351.0,-0.0265
2017-02,21.85,26.07,,,3.5,3.2,4.0,4.1,3.2,,-0.0892
2017-03,21.88,26.11,,,3.5,3.2,4.1,4.2,3.3,,0.1485
2017-04,21.94,26.18,129.7,129.0,3.5,3.1,4.2,4.2,3.3,,0.3619
2017-05,21.97,26.21,,,3.5,3.1,4.0,4.1,3.3,,0.5955
2017-06,22.02,26.26,,,3.4,3.1,4.0,3.9,3.4,,0.8436
2017-07,22.07,26.35,130.6,129.9,3.5,3.1,4.1,4.0,3.4,,0.8297
2017-08,22.1,26.37,,,3.5,3.0,4.1,4.1,3.3,,0.6269
2017-09,22.18,26.49,,,3.4,3.0,4.0,4.0,3.3,,0.6003
2017-10,22.18,26.5,131.4,130.8,3.3,2.9,4.0,3.9,3.2,,0.2900
2017-11,22.22,26.54,,,3.3,2.8,4.0,3.8,3.2,,0.2922
2017-12,22.29,26.63,,,3.3,2.8,4.0,3.7,3.3,,0.5578
2018-01,22.36,26.72,132.4,132.0,3.3,2.8,4.0,3.8,3.2,353.0,0.6049
2018-02,22.41,26.74,,,3.2,2.7,4.0,3.8,3.1,,0.2998
2018-03,22.49,26.85,,,3.3,2.8,4.0,3.8,3.1,,0.4918
2018-04,22.55,26.91,133.3,132.8,3.2,2.8,4.0,3.8,3.0,,0.3097
2018-05,22.6,26.98,,,3.2,2.7,4.0,3.8,3.0,,0.1517
2018-06,22.66,27.03,,,3.3,2.8,4.0,4.1,3.0,,0.1213
2018-07,22.7,27.1,134.3,133.9,3.2,2.8,3.9,4.0,2.9,,-0.0076
2018-08,22.78,27.21,,,3.2,2.9,3.7,4.0,2.8,,0.5285
2018-09,22.86,27.32,,,3.2,2.9,3.7,4.1,2.8,,0.7829
2018-10,22.89,27.37,135.3,134.9,3.3,3.0,3.7,4.2,3.0,,0.7718
2018-11,23.0,27.44,,,3.4,3.1,3.8,4.3,3.1,,1.2176
2018-12,23.11,27.56,,,3.5,3.2,3.9,4.4,3.0,,1.4607
2019-01,23.13,27.59,136.1,135.8,3.5,3.3,3.9,4.5,3.0,359.0,1.7425
2019-02,23.19,27.69,,,3.5,3.3,3.9,4.5,3.1,,2.0034
2019-03,23.29,27.77,,,3.5,3.3,3.8,4.4,3.0,,1.5147
2019-04,23.33,27.79,137.0,136.8,3.6,3.4,3.9,4.5,3.1,,1.2447
2019-05,23.4,27.88,,,3.6,3.4,3.9,4.5,3.1,,1.5127
2019-06,23.48,27.97,,,3.7,3.5,4.0,4.5,3.1,,1.7767
2019-07,23.53,28.03,138.0,137.9,3.7,3.5,4.1,4.5,3.2,,1.5766
2019-08,23.61,28.14,,,3.7,3.3,4.2,4.4,3.2,,1.6515
2019-09,23.68,28.16,,,3.7,3.3,4.3,4.5,3.2,,1.3671
2019-10,23.75,28.24,138.9,138.9,3.7,3.3,4.3,4.4,3.1,,1.4201
2019-11,23.83,28.34,,,3.6,3.2,4.3,4.5,2.9,,1.1633
2019-12,23.85,28.38,,,3.7,3.2,4.3,4.6,3.0,,0.6409
2020-01,23.91,28.43,140.0,140.3,3.7,3.2,4.3,4.7,3.1,380.0,0.4335
2020-02,24.03,28.54,,,3.7,3.3,4.4,4.7,3.1,,0.7117
2020-03,24.12,28.73,,,3.7,3.2,4.4,4.6,3.1,,1.9340
2020-04,25.14,30.04,140.7,140.8,3.6,3.2,4.3,4.6,3.1,,7.7591
2020-05,24.98,29.72,,,3.7,3.2,4.4,4.6,3.2,,6.3888
2020-06,24.78,29.38,,,3.6,3.2,4.4,4.4,3.3,,4.2937
2020-07,24.69,29.39,141.4,141.6,3.6,3.2,4.3,4.4,3.2,,3.8170
2020-08,24.8,29.49,,,3.6,3.2,4.2,4.4,3.3,,3.4719
2020-09,24.82,29.51,,,3.6,3.2,4.2,4.3,3.3,,3.3563
2020-10,24.84,29.54,142.5,142.8,3.6,3.2,4.2,4.4,3.3,,3.3320
2020-11,24.94,29.64,,,3.6,3.2,4.2,4.3,3.4,,3.3718
2020-12,25.16,29.91,,,3.5,3.1,4.1,4.2,3.3,,4.0177
2021-01,25.16,29.93,143.7,144.5,3.5,3.1,4.1,4.1,3.2,368.0,3.8494
2021-02,25.25,30.05,,,3.5,3.1,4.1,4.3,3.1,,3.5615
2021-03,25.33,30.03,,,3.5,3.2,4.0,4.3,2.9,,1.8088
2021-04,25.52,30.22,144.7,145.8,3.5,3.2,4.0,4.2,3.0,,-3.3936
2021-05,25.68,30.41,,,3.4,3.1,3.9,4.3,2.9,,-2.4749
2021-06,25.82,30.54,,,3.4,3.1,3.8,4.4,2.9,,-1.2796
2021-07,25.97,30.66,146.5,148.0,3.5,3.1,4.0,4.7,2.8,,-0.8779
2021-08,26.12,30.78,,,3.5,3.1,4.1,4.9,2.8,,-0.7395
2021-09,26.3,30.98,,,3.6,3.2,4.2,5.0,2.7,,-0.3511
2021-10,26.45,31.14,148.2,149.9,3.6,3.2,4.3,5.1,2.7,,-0.7706
2021-11,26.56,31.23,,,3.7,3.2,4.3,5.2,2.7,,-1.4383
2021-12,26.76,31.39,,,3.8,3.4,4.5,5.5,2.8,,-2.0771
2022-01,26.91,31.6,150.1,151.7,4.0,3.7,4.7,5.9,2.9,362.0,-1.8400
2022-02,26.97,31.64,,,4.3,3.8,5.0,6.0,3.2,,-2.4515
2022-03,27.1,31.8,,,4.5,4.0,5.3,6.3,3.3,,-2.4667
2022-04,27.28,31.96,152.1,154.0,4.7,4.2,5.6,6.6,3.5,,-2.2858
2022-05,27.4,32.1,,,5.0,4.5,6.0,6.9,3.6,,-2.7463
2022-06,27.52,32.19,,,5.3,4.8,6.4,7.2,3.7,,-3.2819
2022-07,27.66,32.34,153.9,155.8,5.5,4.9,6.6,7.4,3.8,,-2.7504
2022-08,27.75,32.44,,,5.7,5.1,6.9,7.4,4.0,,-2.6145
2022-09,27.87,32.57,,,5.9,5.2,7.0,7.4,4.3,,-2.8281
2022-10,27.99,32.7,155.7,157.6,6.0,5.3,7.3,7.5,4.5,,-2.5512
2022-11,28.11,32.82,,,6.2,5.5,7.7,7.5,4.8,,-1.8965
2022-12,28.22,32.94,,,6.3,5.5,7.7,7.4,4.9,,-1.3784
2023-01,28.31,33.02,157.3,159.4,6.3,5.6,7.7,7.4,5.0,367.0,-1.7244
2023-02,28.42,33.15,,,6.3,5.6,7.7,7.3,5.1,,-1.1187
2023-03,28.56,33.27,,,6.4,5.7,7.7,7.2,5.4,,-0.2812
2023-04,28.7,33.43,159.0,161.1,6.3,5.6,7.6,7.0,5.4,,-0.3340
2023-05,28.78,33.5,,,6.3,5.6,7.5,6.8,5.5,,0.2204
2023-06,28.89,33.69,,,6.1,5.5,7.2,6.5,5.6,,1.5419
2023-07,29.01,33.85,160.7,162.8,6.0,5.4,7.1,6.3,5.6,,1.3374
2023-08,29.06,33.89,,,6.0,5.5,6.9,6.1,5.6,,0.7205
2023-09,29.18,34.01,,,5.8,5.3,6.7,5.9,5.5,,0.7079
2023-10,29.26,34.08,162.2,164.4,5.7,5.3,6.5,5.9,5.4,,0.9384
2023-11,29.37,34.17,,,5.6,5.3,6.2,6.0,5.3,,0.9502
2023-12,29.47,34.29,,,5.6,5.2,6.2,5.9,5.2,,0.7573
2024-01,29.61,34.47,163.9,166.2,5.5,5.1,6.1,5.7,5.3,369.0,1.2639
2024-02,29.66,34.52,,,5.3,5.0,5.8,5.5,5.2,,0.9458
2024-03,29.78,34.65,,,5.2,4.9,5.7,5.4,4.9,,0.6388
2024-04,29.85,34.76,165.4,167.6,5.3,5.0,5.8,5.5,5.0,,0.5976
2024-05,29.97,34.89,,,5.1,4.9,5.5,5.4,4.8,,0.8765
2024-06,30.07,35.01,,,5.1,4.9,5.4,5.3,4.7,,0.9205
2024-07,30.16,35.08,166.8,168.9,5.0,4.8,5.3,5.1,4.7,,0.6724
2024-08,30.27,35.22,,,5.0,4.8,5.3,5.1,4.7,,1.2838
2024-09,30.39,35.34,,,5.0,4.8,5.2,5.1,4.8,,1.4490
2024-10,30.48,35.46,168.3,170.5,4.9,4.8,5.1,4.8,5.0,,1.4335
2024-11,30.56,35.6,,,4.8,4.7,5.0,4.5,5.0,,1.4267
2024-12,30.66,35.69,,,4.7,4.6,4.9,4.3,5.0,,1.1783
2025-01,30.79,35.84,169.8,171.8,4.7,4.6,4.8,4.2,4.9,374.0,0.9549
2025-02,30.89,35.94,,,4.6,4.6,4.7,4.2,4.9,,1.2762
2025-03,31.02,36.11,,,4.6,4.6,4.7,4.1,5.0,,1.7890
2025-04,31.09,36.12,171.38,173.563,4.5,4.4,4.5,3.8,4.8,,1.5511
2025-05,31.2,36.28,,,4.4,4.5,4.4,3.7,4.8,,1.5694
2025-06,31.31,36.36,,,4.3,4.4,4.3,3.6,4.8,,1.1449
2025-07,31.39,36.47,172.752,174.948,4.3,4.3,4.3,3.6,4.7,,1.1872
2025-08,31.49,36.62,,,4.2,4.2,4.3,3.4,4.7,,1.0068
2025-09,31.56,36.7,,,4.2,4.1,4.3,3.5,4.5,,0.8015
2025-10,31.7,36.85,174.047,176.233,,,,,,,
2025-11,31.79,37.0,,,4.2,4.1,4.3,3.6,4.3,,1.2037
2025-12,31.83,37.02,,,4.0,4.0,4.1,3.5,4.0,,1.0455
2026-01,31.94,37.15,175.618,177.498,4.0,3.9,4.4,3.5,3.9,,1.2344
2026-02,32.04,37.27,,,4.0,3.9,4.4,3.5,3.9,,1.2365
2026-03,32.12,37.35,,,3.9,3.8,4.4,3.5,3.8,,0.1433
2026-04,32.23,37.41,,,3.8,3.7,4.3,3.6,3.7,,-0.2002
2026-05,32.31,37.53,,,3.8,3.6,4.3,3.5,3.8,,-0.6923
